SIMBAD_ID,mass_1,mass_68L_1,mass_68U_1,BCK,e_BCK,Teff,eTeff,logg,elogg,Meta,eMeta1,eMeta2,xi,e_xi,f_xi,S,EBV_p50,EBV_p16,EBV_p84,L,eL1,eL2,age,age_68L,age_68U,mass_2,mass_68L_2,mass_68U_2,rad,rad_68L,rad_68U,eTeff1,eTeff2,elogg1,elogg2,rho,erho1,erho2,M,eM1,eM2,R,eR1,eR2,Warning_M,Warning_R,M_ai,R_ai
CoRoT-10,0.81,0.74,0.91,1.8,0.1,4890,111,4.45,0.15,0.22,0,0.13,0.45,0.15,1,B21,0.390945487974949,0.348990477273472,0.426676615040686,0.340795547455734,0.316365685336612,0.364095434018482,11.957268,4.201271,21.44375,0.806896,0.759065,0.852505,0.814049,0.784789,0.846768,111,111,0.15,0.15,NA,NA,NA,0.84541428045413,0.0327496791100963,0.0327496791100963,0.915711105047769,0.194687369509018,0.194687369509018,NA,NA,0.798366050950464,0.805529848621624
CoRoT-2,0.96,0.83,1.06,1.45,0.1,5615,48,4.45,0.16,0.02,0.03,0.13,1.59,0.01,0,B21,0.165580016452613,0.150729369468416,0.179405457971738,0.661187033788354,0.637817940344537,0.684942031799806,2.672103,0.893679,5.650819,0.917001,0.874772,0.950788,0.866102,0.846888,0.885421,48,48,0.16,0.16,NA,NA,NA,1.02082446192478,0.0261697601509482,0.0261697601509482,0.968953422074851,0.22038284102008,0.22038284102008,NA,NA,0.909788732377014,0.903805824210591
HAT-P-12,0.72,0.63,0.79,1.99,0.11,4828,67,4.62,0.16,-0.21,0.06,0.18,0.97,0.55,0,B21,0.116594232068995,0.102351001234605,0.131470916516064,0.244139585975496,0.237905435963894,0.250912279453332,NA,NA,NA,0.690499,0.648131,0.735149,0.702313,0.68426,0.720787,67,67,0.16,0.16,NA,NA,NA,0.771130808173722,0.0273770099970923,0.0273770099970923,0.680571056885928,0.15570491997102,0.15570491997102,NA,NA,0.779696530846798,0.758594997305535
HAT-P-14,1.65,1.58,1.69,0.81,0.07,7187,82,4.29,0.08,0.46,0.04,0.19,1.85,0.92,0,B21,0.103572710024454,0.0905031591266254,0.117146134076467,5.70315077854791,5.49635059139671,5.92833770390926,0.275431,0.116606,0.555331,1.582693,1.527695,1.627498,1.559422,1.518236,1.601027,82,82,0.08,0.08,NA,NA,NA,1.66060593067517,0.0397092660887013,0.0397092660887013,1.53269230967221,0.175624391423986,0.175624391423986,1,1,1.49589922766619,1.60143146887645
HAT-P-17,0.79,0.75,0.94,1.79,0.09,5066,101,4.4,0.16,0.1,0,0.12,0.61,0.15,1,B21,0.0356544296897318,0.0208402828669508,0.0502100523442439,0.559465411930844,0.542989900530502,0.576283435728338,NA,NA,NA,0.81413,0.770672,0.866915,0.955264,0.919017,0.989709,101,101,0.16,0.16,NA,NA,NA,0.848198019985511,0.0386565802967392,0.0386565802967392,0.984352301779915,0.223993327547361,0.223993327547361,NA,NA,0.843922953975547,0.887785445370484
HAT-P-19,0.89,0.83,0.91,1.88,0.01,5090,19,4.63,0.03,0.39,0.04,0.14,1.23,0.1,0,PEPSI,0.0557607907775332,0.0487762027584019,0.0628363531119403,0.359037144315602,0.353252199587136,0.365066809319073,1.705732,0.628351,4.051772,0.846242,0.822414,0.86359,0.77447,0.766177,0.782751,19,19,0.03,0.03,NA,NA,NA,0.919620501238782,0.0228001128563871,0.0228001128563871,0.750897545765465,0.038161333073141,0.038161333073141,1,1,0.818089035544666,0.803963406298536
HAT-P-20,0.79,0.67,0.83,2.05,0.11,4786,44,4.66,0.15,0.1,0.03,0.16,1.52,0.04,0,B21,0.121184225438387,0.107292541224113,0.135843172597073,0.23418861589392,0.228459404004283,0.240205935772725,7.230273,2.404001,15.394701,0.739831,0.696784,0.770796,0.708989,0.694933,0.723172,44,44,0.15,0.15,NA,NA,NA,0.801600882807445,0.0226477060142507,0.0226477060142507,0.669120949060509,0.142408994011278,0.142408994011278,NA,1,0.776076902320717,0.764688830415415
HAT-P-23,1.23,1.08,1.27,1.26,0.09,6104,37,4.4,0.12,0.29,0.01,0.15,1.48,0.05,0,B21,0.0552947514145618,0.0464418999672233,0.0644956140680737,1.54616606922147,1.51067371004402,1.58153266695171,0.983776,0.350928,2.09785,1.16167,1.116365,1.193246,1.115087,1.097565,1.132974,37,37,0.12,0.12,NA,NA,NA,1.2488874569975,0.0240923961568832,0.0240923961568832,1.13873978870863,0.192229801509011,0.192229801509011,NA,NA,1.06804314519604,1.12538355070632
HAT-P-24,1.06,0.95,1.2,1.2,0.09,6201,8,4.14,0.16,-0.34,0.01,0.14,1.46,0.09,0,B21,0.000258940177199115,6.16809060822404e-05,0.000801746606878514,2.88759469532936,2.84639777686492,2.93086500920092,5.992933,4.618087,6.866354,1.053474,0.99964,1.133423,1.467161,1.455829,1.479017,8,8,0.16,0.16,NA,NA,NA,1.1450688060517,0.01981713385785,0.01981713385785,1.50580228068724,0.342114489706162,0.342114489706162,NA,NA,1.18692479204315,1.52039547683652
HAT-P-26,0.8,0.74,0.93,1.85,0.09,5034,61,4.47,0.16,0.13,0.03,0.12,0.47,0.38,0,B21,0.0484198757930802,0.0351362090060207,0.0615128402308825,0.473800036222305,0.461234409161964,0.486485671164935,NA,NA,NA,0.814467,0.769084,0.862903,0.898799,0.875042,0.922839,61,61,0.16,0.16,NA,NA,NA,0.843648398268965,0.0283462225983637,0.0283462225983637,0.895133998976984,0.203099638532979,0.203099638532979,NA,NA,0.826754350003847,0.835933764260192
