Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
40000.0,,,,,,,
32780.0,5.74193,,23.718105690765938,200.0,0.001021,,0.8768428888724724
29564.0,5.508,,,,0.012,,
29300.0,5.4,,,500.0,0.1,,
27730.0,5.52,,22.908676527677734,270.0,0.03,,2.909209580244431
27500.0,5.35,,,350.0,0.05,,
21700.0,3.8,,,900.0,0.2,,
15900.0,8.05,,,75.0,0.05,,
10500.0,,,,,,,
10500.0,,,31.622776601683793,,,,
10000.0,8.07,,,110.0,0.05,,
10000.0,,,40.000000798724194,,,,
9770.0,,,58.999726713977324,100.0,,,4.804901524468207
8840.0,,,,200.0,,,
8500.0,,0.0,14.389973693570191,150.0,,0.15,0.3359715132011827
8000.0,,,13.85989690991302,,,,3.6568670467073368
7800.0,4.1,,,200.0,0.05,,
7490.0,,0.15,12.100128989595488,150.0,,0.15,0.9618641818027243
7430.0,,,,100.0,,,
7400.0,4.0,-0.5,,,,,
7175.0,4.292,,4.890012845875454,54.0,0.028,,0.4402249464882182
7130.0,3.946,0.0,9.170014027142456,150.0,0.035,,0.7410416007379208
6900.0,4.35,-0.03,,120.0,0.17,,
6820.0,4.1,0.07,,52.0,0.04,,
6771.0,4.15,,,303.0,0.19,,
6768.0,4.5,0.0,,7.0,,,
6740.0,4.22,,,140.0,0.07,,
6620.0,4.063,,,376.0,0.15,,
6600.0,4.3,-0.31,,150.0,0.2,,
6600.0,4.25,0.11,,90.0,0.03,,
6570.0,4.22,-0.13,,80.0,0.03,,
6566.0,3.39,0.0,,50.0,0.19,,
6550.0,4.2,-0.25,,100.0,0.2,,
6516.0,,,5.623413251903491,165.0,,,0.7256250582190296
6509.0,4.405,,,200.0,0.3,,
6500.0,4.1,,1.2699891189181118,100.0,0.04,,0.15104370038380033
6480.0,3.96,0.12,,90.0,0.03,,
6475.0,4.07,0.0,,100.0,0.2,,
6450.0,,,,120.0,,,
6446.0,4.15,0.05,,88.0,0.01,,
6442.0,,0.22,,88.0,,0.04,
6435.0,4.419,,,200.0,0.3,,
6430.0,3.96,-0.08,,130.0,0.04,,
6429.0,3.95,-0.18,,50.0,0.06,,
6407.0,4.14,0.21,,150.0,,0.08,
6402.0,4.408,,,200.0,0.3,,
6400.0,4.25,0.0,,100.0,0.05,,
6397.0,4.18,-0.04,,70.0,0.03,,
6390.0,4.14,0.21,,100.0,0.02,,
6389.0,4.07,0.26,,17.0,0.06,,
6380.0,4.31,0.2,,120.0,0.08,,
6380.0,,0.18,3.3884415613920256,,,,0.5700586301275719
6373.0,4.27,-0.16,,80.0,0.04,,
6365.0,4.54516,,,,,,
6363.0,4.051,,,259.0,0.15,,
6335.0,4.403,,,200.0,0.3,,
6331.0,4.43,0.19,,61.0,0.05,,
6330.0,4.25,-0.25,,124.0,0.02,,
6327.0,4.5,0.0,,80.0,,,
6326.0,4.412,,,250.0,0.3,,
6305.0,,-0.03,,50.0,,0.1,
6304.0,4.2,0.05,,49.0,0.03,,
6304.0,4.36,0.13,,88.0,0.3,,
6300.0,4.35,-0.17,,100.0,0.15,,
6293.0,4.40971,,1.85519685757119,123.0,,,
6293.0,4.25,,,338.0,0.2,,
6291.0,4.07,,,,,,
6289.0,4.30327,,2.366355556142724,128.13,0.0828795,,0.08772984421450158
6282.0,4.422,,,200.0,0.3,,
6272.0,3.8399,,,,,,
6256.0,4.198,,,37.0,0.073,,
6250.0,4.09,-0.06,,100.0,0.05,,
6250.0,4.26,-0.1,,150.0,0.01,,
6250.0,4.401,,,200.0,0.3,,
6250.0,4.0,-0.12,,,,,
6248.0,4.429,,,250.0,0.3,,
6245.0,3.8,-0.26,,80.0,0.07,,
6239.0,4.247,,,94.0,0.036,,
6239.0,4.5,0.18,,24.0,0.04,,
6230.0,4.45,0.04,,80.0,0.1,,
6226.0,,,,43.0,,,
6224.0,4.421,,,200.0,0.3,,
6209.0,4.452,,,200.0,0.3,,
6200.0,4.06,0.14,,75.0,0.02,,
6200.0,4.15,0.01,,80.0,0.03,,
6196.0,4.41,,,29.0,0.21,,
6190.0,4.41,,,60.0,0.05,,
6189.0,4.233,,,100.0,0.15,,
6188.0,,0.27,,44.0,,0.03,
6186.0,4.15,,,100.0,0.17,,
6184.0,4.441,,,250.0,0.3,,
6180.0,4.25,-0.02,,50.0,0.01,,
6179.0,,,,125.0,,,
6179.0,4.37,0.32,,15.0,0.04,,
6177.0,4.244,,,100.0,0.15,,
6174.0,4.41,0.19,,50.0,0.1,,
6170.0,4.27,0.26,,80.0,0.07,,
6169.0,4.254,,,100.0,0.15,,
6169.0,4.249,,,100.0,0.15,,
6168.0,4.341,0.137,,,,,
6167.0,4.46,0.16,,24.0,0.04,,
6165.0,4.3,,,64.0,0.035,,
6165.0,4.229,,,100.0,0.15,,
6165.0,4.244,,,100.0,0.15,,
