Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
1	G_158-50_A	0.179	0.002	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
2	G_158-50_B	0.112	0.001	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
3	GJ_54_A	0.432	0.008	0.008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
4	GJ_54_B	0.301	0.006	0.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
5	GJ_65_A	0.12	0.003	0.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
6	GJ_65_B	0.117	0.003	0.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
7	GJ_234_A	0.223	0.002	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
8	GJ_234_B	0.109	0.001	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
9	G_250-029_A	0.35	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
10	G_250-029_B	0.187	0.004	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
11	G_193-027_A	0.126	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
12	G_193-027_B	0.124	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
13	GJ_473_A	0.124	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
14	GJ_473_B	0.113	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
15	GJ_623_A	0.379	0.007	0.007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
16	GJ_623_B	0.114	0.002	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
17	GJ_748_A	0.369	0.005	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
18	GJ_748_B	0.19	0.003	0.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
19	GJ_791,2_A	0.237	0.004	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
20	GJ_791,2_B	0.114	0.002	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
21	GJ_831_A	0.27	0.004	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
22	GJ_831_B	0.145	0.002	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bdct2016	NA	NA	NA	NA	EB
23	NGTS-EB-8_A	0.25	0.005	0.004	0.255	0.004	0.005	3500.0	100.0	200.0	-2.055517328	0.04935164567	0.09870329134	0.0	0.5	0.5	5.023	0.02	0.016	15.08	0.77	0.92	NA	MS	M	NA	OBrien25	NA	NA	NA	NA	EB
24	NGTS-EB-8_B	0.208	0.005	0.004	0.233	0.006	0.005	3300.0	100.0	100.0	-2.236572006	0.0569075528	0.05615876921	0.0	0.5	0.5	5.021	0.02	0.022	16.4	1.3	1.1	NA	MS	M	NA	OBrien25	NA	NA	NA	NA	EB
25	TIC24397947_A	1.073	0.012	0.012	1.806	0.008	0.008	6403.0	120.0	120.0	0.6937269489	0.0193410498	0.01846191117	NA	NA	NA	3.954	0.002	0.002	0.1822	0.0032	0.0032	NA	MS	F/G	NA	CakirliDec25	NA	NA	NA	NA	EB
26	TIC24397947_B	0.278	0.002	0.002	0.298	0.001	0.001	3533.0	95.0	95.0	-2	0	0	NA	NA	NA	4.931	0.002	0.002	10.50	0.13	0.13	NA	MS	M	NA	CakirliDec25	NA	NA	NA	NA	EB
27	TIC28051929_A	1.088	0.007	0.007	1.285	0.003	0.003	5985.0	140.0	140.0	0.2810333672	0.01364275859	0.01364275859	NA	NA	NA	4.256	0.001	0.001	0.5128	0.0049	0.0049	NA	MS	F/G	NA	CakirliDec25	NA	NA	NA	NA	EB
