ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	e1_Fe/H	e2_Fe/H	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database	rho	erho1	erho2
47_Tuc-V69_A	0,876	0,005	0,005	1,316	0,005	0,005	5945	150	150	-0,71	0,1	0,1	NA	4,143	0,003	0,003	NA	1,941	0,217	0,217	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,09175882191053168	0,001169689175677649	0,001169689175677649
47_Tuc-V69_B	0,859	0,006	0,006	1,163	0,006	0,006	5959	150	150	-0,71	0,1	0,1	NA	4,242	0,003	0,003	NA	1,531	0,171	0,171	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,1303663211928678	0,002213666625713926	0,002213666625713926
AD_Boo_A	1,414	0,009	0,009	1,614	0,014	0,014	6575	120	120	0,1	0,15	0,15	NA	4,173	0,008	0,008	NA	4,375	0,356	0,356	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,08028792038871105	0,002150866160227792	0,002150866160227792
AD_Boo_B	1,209	0,006	0,006	1,218	0,01	0,01	6145	120	120	0,1	0,15	0,15	NA	4,351	0,007	0,007	NA	1,901	0,164	0,164	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,15973343337712526	0,004013388800066067	0,004013388800066067
AG_Ari_A	2,164	0,07	0,07	2,232	0,023	0,023	10300	250	250	NA	NA	NA	NA	4,075	0,023	0,023	NA	50,35	5,497	5,497	NA	MS	B	NA	NA	NA	NA	NA	eker14	EB	NA	0,04646073503859044	0,002078844105238302	0,002078844105238302
AG_Ari_B	2,148	0,07	0,07	2,074	0,022	0,022	9800	230	230	NA	NA	NA	NA	4,137	0,023	0,023	NA	35,645	3,801	3,801	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,05748035101388563	0,0026181545928333307	0,0026181545928333307
AI_Hya_A	1,974	0,04	0,04	2,764	0,02	0,02	7100	60	60	NA	NA	NA	NA	3,85	0,004	0,004	NA	17,418	0,654	0,654	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,022317442418795092	0,0006627300883118665	0,0006627300883118665
AI_Hya_B	2,14	0,04	0,04	3,912	0,03	0,03	6700	60	60	NA	NA	NA	NA	3,58	0,004	0,004	NA	27,669	1,105	1,105	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,008533528154796471	0,0002529522196060604	0,0002529522196060604
AI_Phe_A	1,234	0,004	0,004	2,932	0,048	0,048	5010	120	120	-0,14	0,1	0,1	NA	3,595	0,014	0,014	NA	4,864	0,519	0,519	NA	PMS	K	NA	NA	NA	NA	NA	torres10	EB	NA	0,01168785062413653	0,0005752770226823098	0,0005752770226823098
AI_Phe_B	1,19	0,006	0,006	1,762	0,007	0,007	6310	147	147	-0,14	0,1	0,1	NA	NA	NA	NA	NA	4,365	0,421	0,421	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,051932668616570185	0,0006720560977481702	0,0006720560977481702
alf_Cen_A	1,105	0,007	0,007	1,224	0,003	0,003	5824	26	26	0,24	0,04	0,04	NA	4,306	0,004	0,004	NA	1,549	0,029	0,029	NA	MS	G	NA	NA	NA	NA	NA	torres10	EB	NA	0,14385647532084012	0,0013961933306809553	0,0013961933306809553
alf_Cen_B	0,934	0,006	0,006	0,863	0,005	0,005	5223	62	62	0,24	0,04	0,04	NA	4,536	0,006	0,006	NA	0,498	0,025	0,025	NA	MS	G	NA	NA	NA	NA	NA	torres10	EB	NA	0,34691723776718636	0,006428505148356816	0,006428505148356816
alf_CrB_A	2,581	0,045	0,045	3,059	0,302	0,302	9700	200	200	NA	NA	NA	NA	3,89	0,0860851675189244	0,0860851675189244	NA	74,302	20,322	20,322	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,021525882448320845	0,006386470097445911	0,006386470097445911
alf_CrB_B	0,922	0,025	0,025	0,906	0,04	0,04	5800	300	300	NA	NA	NA	NA	4,5	0,0401156250680685	0,0401156250680685	NA	0,834	0,243	0,243	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,2959768329123111	0,040015270586243074	0,040015270586243074
AN_Cam_A	1,4	0,14	0,14	2,3	0,23	0,23	5495	393	393	NA	NA	NA	NA	NA	NA	NA	NA	4,305	1,748	1,748	NA	PMS	G	NA	NA	NA	NA	NA	malkov07	EB	NA	0,02746982662061151	0,008686721905105844	0,008686721905105844
AN_Cam_B	1,4	0,14	0,14	1,7	0,17	0,17	6026	431	431	NA	NA	NA	NA	NA	NA	NA	NA	3,404	1,382	1,382	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,06802877681518017	0,021512588117122488	0,021512588117122488
AR_Aur_A	2,48	0,098	0,098	1,781	0,036	0,036	10940	306	306	NA	NA	NA	NA	NA	NA	NA	NA	40,738	4,971	4,971	NA	MS	B	NA	NA	NA	NA	NA	malkov07	EB	NA	0,10480242049381694	0,007585512715588827	0,007585512715588827
AR_Cas_B	1,869	0,06	0,06	1,604	0,03	0,03	8150	200	200	NA	NA	NA	NA	4,3	0,02	0,02	NA	10,186	1,19	1,19	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,10812038916925194	0,006989367698205203	0,006989367698205203
AS_Cam_B	2,51	0,05	0,05	2,0	0,15	0,15	10023	352	352	NA	NA	NA	NA	NA	NA	NA	NA	36,308	8,361	8,361	NA	MS	B	NA	NA	NA	NA	NA	malkov07	EB	NA	0,07490229509262324	0,016918937826514872	0,016918937826514872
AY_Cam_A	1,947	0,041	0,041	2,784	0,02	0,02	7250	100	100	NA	NA	NA	NA	3,832	0,015	0,015	NA	19,231	1,14	1,14	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,021541187919086907	0,0006490720519461916	0,0006490720519461916
AY_Cam_B	1,707	0,036	0,036	2,034	0,015	0,015	7395	100	100	NA	NA	NA	NA	4,057	0,016	0,016	NA	11,117	0,659	0,659	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,04842750181252323	0,0014802024249828756	0,0014802024249828756
bet_Aur_A	2,369	0,027	0,027	2,762	0,017	0,017	9350	200	200	NA	NA	NA	NA	3,932	0,005	0,005	NA	52,36	4,92	4,92	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,026841416351768607	0,0005824329442113847	0,0005824329442113847
bet_Aur_B	2,295	0,027	0,027	2,568	0,017	0,017	9200	200	200	NA	NA	NA	NA	3,979	0,005	0,005	NA	42,462	4,097	4,097	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,03235258764293225	0,0007467916909443623	0,0007467916909443623
BG_Ind_A	1,428	0,008	0,008	2,29	0,017	0,017	6353	270	270	-0,2	0,1	0,1	NA	3,86505724276038	0,0068917938020421	0,0068917938020421	NA	7,907	1,621	1,621	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,02838789244480446	0,0006519154916152006	0,0006519154916152006
BG_Ind_B	1,293	0,008	0,008	1,68	0,038	0,039	6653	233	233	-0,2	0,1	0,1	NA	4,09097996142867	0,0198295561346882	0,020341925232502	NA	5,117	0,881	0,881	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,0651001621649953	0,0044358358185666615	0,0045516181085409205
BH_Vir_A	1,166	0,008	0,008	1,247	0,024	0,024	6100	100	100	NA	NA	NA	NA	4,313	0,017	0,017	NA	1,932	0,153	0,153	NA	MS	F	NA	NA	NA	NA	NA	torres10	EB	NA	0,1435524406504529	0,008346826948437112	0,008346826948437112
BH_Vir_B	1,05	0,015	0,015	1,118	0,04	0,04	5500	200	200	NA	NA	NA	NA	4,35430569196913	0,0316897899866806	0,0316897899866806	NA	1,028	0,199	0,199	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,17938052019590348	0,01942350801338325	0,01942350801338325
BK_Peg_A	1,43	0,02	0,02	1,97	0,07	0,07	6053	28	28	-0,12	0,07	0,07	NA	NA	NA	NA	NA	4,677	0,335	0,335	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,04465280541997304	0,004800737750778811	0,004800737750778811
BK_Peg_B	1,28	0,01	0,01	1,57	0,11	0,11	6123	28	28	-0,12	0,07	0,07	NA	NA	NA	NA	NA	3,09	0,458	0,458	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,07896277513007183	0,016608731829663777	0,016608731829663777
BP_Vul_A	1,737	0,015	0,015	1,853	0,014	0,014	7709	150	150	NA	NA	NA	NA	4,142	0,007	0,007	NA	10,889	0,941	0,941	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06517558698242498	0,0015808517998813934	0,0015808517998813934
BP_Vul_B	1,408	0,009	0,009	1,489	0,014	0,014	6823	150	150	NA	NA	NA	NA	4,24	0,008	0,008	NA	4,315	0,427	0,427	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,10181926372564548	0,002944821253927379	0,002944821253927379
BS_Dra_A	1,363	0,054	0,054	1,508	0,043	0,043	6699	479	479	NA	NA	NA	NA	NA	NA	NA	NA	4,256	0,089	0,089	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,09488623660935651	0,008945191116908049	0,008945191116908049
