hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
WASP-178,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,A1 IV-V,9360.0,150.0,-150.0,0.0,1.67,0.07,-0.07,0.0,2.07,0.11,-0.11,0.0,0.21,0.16,-0.16,0.0,[Fe/H],,,,,4.31,0.04,-0.04,0.0
Kepler-1115,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,8480.0,295.98,-217.88,0.0,1.73,0.289,-0.203,0.0,1.6,0.096,-0.1,0.0,-0.51,0.106,-0.121,0.0,[Fe/H],,,,,4.17,0.085,-0.109,0.0
WASP-189,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,,8000.0,80.0,-80.0,0.0,2.36,0.03,-0.03,0.0,2.03,0.066,-0.066,0.0,0.29,0.13,-0.13,0.0,[Fe/H],,,,,3.9,0.2,-0.2,0.0
KOI-13,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,7650.0,250.0,-250.0,0.0,1.74,0.04,-0.04,0.0,1.72,0.1,-0.1,0.0,0.2,0.2,-0.2,0.0,[Fe/H],,,,,4.2,0.5,-0.5,0.0
Kepler-462,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,,7500.0,300.0,-300.0,0.0,1.57,0.08,-0.06,0.0,1.59,0.08,-0.08,0.0,0.05,0.11,-0.11,0.0,[Fe/H],,,,,4.22,0.04,-0.04,0.0
TOI-1518,<a refstr=CABOT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..218C/abstract target=ref>Cabot et al. 2021</a>,F0,7300.0,100.0,-100.0,0.0,1.95,0.048,-0.048,0.0,1.79,0.26,-0.26,0.0,-0.1,0.12,-0.12,0.0,[Fe/H],,,,,4.1,0.2,-0.2,0.0
K2-52,<a refstr=LIVINGSTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..102L/abstract target=ref>Livingston et al. 2019</a>,,7147.0,483.0,-506.0,0.0,2.192,0.28,-0.232,0.0,1.691,0.157,-0.143,0.0,0.055,0.154,-0.139,0.0,[Fe/H],,,,,3.979,0.087,-0.085,0.0
Kepler-516,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,7099.0,172.5,-234.72,0.0,2.02,0.504,-0.405,0.0,1.62,0.176,-0.172,0.0,0.01,0.157,-0.159,0.0,[Fe/H],,,,,4.04,0.143,-0.152,0.0
Kepler-1171,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,7044.0,277.69,-199.09,0.0,1.95,0.513,-0.384,0.0,1.58,0.179,-0.168,0.0,-0.01,0.152,-0.175,0.0,[Fe/H],,,,,4.05,0.146,-0.154,0.0
Kepler-1517,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,7010.0,117.01,-113.2,0.0,1.95,0.53,-0.37,0.0,1.58,0.183,-0.153,0.0,0.01,0.144,-0.152,0.0,[Fe/H],,,,,4.06,0.142,-0.161,0.0
Kepler-959,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,7005.0,193.26,-159.47,0.0,2.01,0.552,-0.4,0.0,1.6,0.19,-0.172,0.0,0.02,0.141,-0.154,0.0,[Fe/H],,,,,4.04,0.147,-0.166,0.0
WASP-167,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,F1 V,7000.0,250.0,-250.0,0.0,1.79,0.05,-0.05,0.0,1.59,0.08,-0.08,0.0,0.1,0.1,-0.1,0.0,[Fe/H],,,,,4.13,0.02,-0.02,0.0
OGLE2-TR-L9,<a refstr=SNELLEN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...497..545S/abstract target=ref> Snellen et al. 2009 </a>,,6933.0,58.0,-58.0,0.0,1.53,0.04,-0.04,0.0,1.52,0.08,-0.08,0.0,-0.05,0.2,-0.2,0.0,[Fe/H],,,,,4.25,0.01,-0.01,0.0
WASP-172,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,F1 V,6900.0,140.0,-140.0,0.0,1.91,0.1,-0.1,0.0,1.49,0.07,-0.07,0.0,-0.1,0.08,-0.08,0.0,,,,,,4.05,0.05,-0.05,0.0
Kepler-880,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6900.0,184.0,-204.0,0.0,2.599,0.523,-0.85,0.0,1.714,0.17,-0.316,0.0,0.0,0.25,-0.3,0.0,[Fe/H],,,,,3.843,0.259,-0.111,0.0
WASP-188,<a refstr=SCHANCHE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250408091S/abstract target=ref>Schanche et al. 2025</a>,,6850.0,125.0,-125.0,0.0,1.83,0.069,-0.069,0.0,1.5,0.09,-0.09,0.0,0.0,0.3,-0.3,0.0,[Fe/H],,,,,4.1,0.2,-0.2,0.0
Kepler-1518,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6846.0,320.29,-290.12,0.0,1.88,0.609,-0.376,0.0,1.54,0.21,-0.182,0.0,0.06,0.148,-0.165,0.0,[Fe/H],,,,,4.08,0.148,-0.187,0.0
Kepler-1626,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6826.0,286.4,-316.8,0.0,1.85,0.597,-0.389,0.0,1.51,0.21,-0.196,0.0,0.04,0.127,-0.147,0.0,[Fe/H],,,,,4.08,0.155,-0.191,0.0
Kepler-1137,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6807.0,117.84,-120.35,0.0,1.84,0.691,-0.332,0.0,1.5,0.226,-0.14,0.0,0.05,0.126,-0.157,0.0,[Fe/H],,,,,4.08,0.141,-0.21,0.0
Kepler-1364,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6805.0,136.21,-160.28,0.0,1.79,0.625,-0.306,0.0,1.49,0.209,-0.138,0.0,0.04,0.131,-0.148,0.0,[Fe/H],,,,,4.1,0.128,-0.204,0.0
Kepler-1360,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6778.0,324.31,-343.47,0.0,1.83,0.626,-0.405,0.0,1.51,0.225,-0.211,0.0,0.06,0.141,-0.16,0.0,[Fe/H],,,,,4.09,0.158,-0.201,0.0
Kepler-1015,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6769.0,136.36,-197.14,0.0,1.81,0.671,-0.335,0.0,1.49,0.22,-0.15,0.0,0.06,0.134,-0.151,0.0,[Fe/H],,,,,4.09,0.141,-0.212,0.0
Kepler-812,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6761.0,124.82,-102.89,0.0,1.71,0.644,-0.261,0.0,1.45,0.212,-0.136,0.0,0.02,0.128,-0.169,0.0,[Fe/H],,,,,4.13,0.116,-0.215,0.0
Kepler-644,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6747.0,156.03,-238.58,0.0,1.81,0.668,-0.349,0.0,1.49,0.221,-0.165,0.0,0.08,0.14,-0.149,0.0,[Fe/H],,,,,4.09,0.145,-0.213,0.0
K2-278,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6747.0,383.0,-383.0,0.0,1.61,0.05,-0.05,0.0,1.4,0.08,-0.08,0.0,0.0,0.17,-0.17,0.0,[Fe/H],,,,,4.17,0.04,-0.04,0.0
Kepler-471,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6733.0,288.74,-288.8,0.0,1.8,0.652,-0.356,0.0,1.49,0.222,-0.182,0.0,0.07,0.144,-0.156,0.0,[Fe/H],,,,,4.1,0.142,-0.213,0.0
