Teff,logg,Meta,eTeff,elogg,eMeta
9360.0,4.31,0.21,150.0,0.04,0.16
8480.0,4.17,-0.51,256.93,0.097,0.11349999999999999
8000.0,3.9,0.29,80.0,0.2,0.13
7650.0,4.2,0.2,250.0,0.5,0.2
7500.0,4.22,0.05,300.0,0.04,0.11
7300.0,4.1,-0.1,100.0,0.2,0.12
7147.0,3.979,0.055,494.5,0.086,0.14650000000000002
7099.0,4.04,0.01,203.61,0.1475,0.158
7044.0,4.05,-0.01,238.39,0.15,0.16349999999999998
7010.0,4.06,0.01,115.105,0.1515,0.148
7005.0,4.04,0.02,176.365,0.1565,0.1475
7000.0,4.13,0.1,250.0,0.02,0.1
6933.0,4.25,-0.05,58.0,0.01,0.2
6900.0,4.05,-0.1,140.0,0.05,0.08
6900.0,3.843,0.0,194.0,0.185,0.275
6850.0,4.1,0.0,125.0,0.2,0.3
6846.0,4.08,0.06,305.20500000000004,0.16749999999999998,0.1565
6826.0,4.08,0.04,301.6,0.173,0.137
6807.0,4.08,0.05,119.095,0.1755,0.14150000000000001
6805.0,4.1,0.04,148.245,0.16599999999999998,0.1395
6778.0,4.09,0.06,333.89,0.1795,0.1505
6769.0,4.09,0.06,166.75,0.1765,0.14250000000000002
6761.0,4.13,0.02,113.85499999999999,0.1655,0.14850000000000002
6747.0,4.09,0.08,197.305,0.179,0.14450000000000002
6747.0,4.17,0.0,383.0,0.04,0.17
6733.0,4.1,0.07,288.77,0.1775,0.15
6730.0,4.16,-0.1,140.0,0.06,0.1
6725.0,4.12,0.02,238.65499999999997,0.16899999999999998,0.14850000000000002
6720.0,4.04,-0.07,100.0,0.1,0.1
6704.0,4.11,0.09,175.10500000000002,0.183,0.14
6700.0,4.197,0.07,100.0,0.019,0.17
6688.0,4.304,0.07,234.0,0.15,0.3
6681.0,4.12,0.06,283.8,0.19,0.14250000000000002
6680.0,4.1,0.05,100.38499999999999,0.1995,0.154
6675.0,4.12,0.04,246.59499999999997,0.1735,0.14800000000000002
6666.0,4.13,0.05,296.63,0.1735,0.14400000000000002
6655.0,4.3,0.13,125.0,0.2,0.05
6620.0,4.15,0.04,178.83499999999998,0.1815,0.14550000000000002
6600.0,4.2,0.03,100.0,0.15,0.1
6600.0,4.42,0.1,200.0,0.01,0.2
6597.0,4.3,0.1,81.0,0.2,0.06
6572.0,4.365,0.07,205.5,0.1365,0.275
6570.0,4.14,0.06,167.175,0.197,0.134
6570.0,4.26,-0.03,220.0,0.025,0.185
6564.0,4.2,0.22,175.945,0.07550000000000001,0.1505
6563.0,4.19,0.03,361.0,0.05,0.16
6561.0,4.14,0.07,159.965,0.194,0.1405
6541.0,4.16,0.04,210.44,0.1885,0.14200000000000002
6520.0,4.25,-0.05,90.0,0.15,0.1
6511.0,4.26,0.07,87.78999999999999,0.051000000000000004,0.1095
6510.0,3.94,0.1,100.0,0.32,0.125
6504.0,4.16,0.04,374.0,0.055,0.15000000000000002
6502.0,4.22,0.17,131.0,0.04,0.1
6501.0,4.054,0.1,213.0,0.21000000000000002,0.275
6496.0,4.19,0.04,147.155,0.1815,0.139
6481.0,3.84,0.06,63.8,0.098,0.0655
6478.0,4.197,-0.06,91.5,0.0445,0.09
6477.0,4.224,0.1,109.5,0.03,0.125
6474.0,4.311,-0.16,204.5,0.1545,0.275
6461.0,4.396,-0.14,191.5,0.1345,0.275
6460.0,3.987,0.072,140.0,0.033,0.0805
6457.0,4.19,0.11,219.995,0.158,0.14300000000000002
6457.0,4.358,-0.06,212.5,0.1445,0.275
6455.0,4.125,-0.36,194.5,0.21000000000000002,0.275
6453.0,4.23,0.35,73.785,0.034,0.053
6450.0,4.035,-0.05,120.0,0.049,0.07
6449.0,4.18,0.04,132.38,0.1985,0.14850000000000002
6440.0,4.22,-0.03,120.0,0.23,0.08
6436.0,4.2,0.04,163.615,0.1915,0.139
6431.0,4.2,0.03,235.32999999999998,0.1935,0.14300000000000002
6430.0,4.033,0.11,130.0,0.029,0.14
