hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
NSVS 14256825,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,,40000.0,,,0.0,0.188,0.01,-0.01,0.0,0.419,0.07,-0.07,0.0,,,,,,,,,,,,,
NY Vir,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,200.0,-200.0,0.0,0.151,0.001,-0.001,0.0,0.459,0.01,-0.01,0.0,,,,,,1.37508,0.01605,-0.01667,0.0,5.74193,0.001021,-0.001021,0.0
2MASS J19383260+4603591,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.203,0.001,-0.001,0.0,0.48,,,0.0,,,,,,,,,,5.508,0.012,-0.012,0.0
V0391 Peg,<a refstr=SILVOTTI_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007Natur.449..189S/abstract target=ref> Silvotti et al. 2007 </a>,,29300.0,500.0,-500.0,0.0,0.23,0.03,-0.03,0.0,0.5,0.05,-0.05,0.0,,,,,,,,,,5.4,0.1,-0.1,0.0
KOI-55,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,270.0,-270.0,0.0,0.203,0.007,-0.007,0.0,0.496,0.002,-0.002,0.0,,,,,,1.36,0.055,-0.063,0.0,5.52,0.03,-0.03,0.0
KIC 10001893,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.0,200.0,-500.0,0.0,,,,,,,,,,,,,,,,,,5.35,0.05,-0.05,0.0
mu2 Sco,<a refstr=SQUICCIARINI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220502279S/abstract target=ref>Squicciarini et al. 2022</a>,B2 IV,21700.0,900.0,-900.0,0.0,5.6,0.2,-0.2,0.0,9.1,0.3,-0.3,0.0,,,,,,,,,,3.8,0.2,-0.2,0.0
ZTF J1828+2308,<a refstr=PARSONS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.537.2112P/abstract target=ref>Parsons et al. 2025</a>,,15900.0,75.0,-75.0,0.0,0.0131,0.0002,-0.0002,0.0,0.61,0.004,-0.004,0.0,,,,,,,,,,8.05,0.05,-0.05,0.0
HIP 78530,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,B9 V,10500.0,,,0.0,,,,,2.5,,,0.0,,,,,,,,,,,,,
HD 100546,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,B9 Vne,10500.0,,,0.0,,,,,2.4,0.1,-0.1,0.0,,,,,,1.5,,,0.0,,,,
